=== C:\Users\jose ===
"GiB","Name","FullName","LastWriteTime"
"0","Imagen de WhatsApp 2025-05-17 a las 13.00.04_98ad230c.jpg","C:\Users\jose\Desktop\Imagen de WhatsApp 2025-05-17 a las 13.00.04_98ad230c.jpg","17/05/2025 13:00:03"
"0","Alta OFICIAL Hacienda Empresario Individual Modelo 036-037 David Cotain a 14112022.PDF","C:\Users\jose\Desktop\Alta OFICIAL Hacienda Empresario Individual Modelo 036-037 David Cotain a 14112022.PDF","16/05/2025 13:17:33"
"0","Imagen de WhatsApp 2025-04-28 a las 13.22.37_5642e7fa.jpg","C:\Users\jose\Desktop\Imagen de WhatsApp 2025-04-28 a las 13.22.37_5642e7fa.jpg","28/04/2025 13:22:37"
"0","Certificado de titularidad de la cuenta bancaria.pdf","C:\Users\jose\Desktop\Certificado de titularidad de la cuenta bancaria.pdf","16/05/2025 13:17:33"
"0","Certificado de estar al corriente de pagos con Hacienda.pdf","C:\Users\jose\Desktop\Certificado de estar al corriente de pagos con Hacienda.pdf","16/05/2025 13:17:33"
"0","Imagen de WhatsApp 2024-12-31 a las 22.17.57_7813c935.jpg","C:\Users\jose\Desktop\Imagen de WhatsApp 2024-12-31 a las 22.17.57_7813c935.jpg","22/01/2025 10:56:09"
"0","keepeyeonball-cert.pfx","C:\Users\jose\Desktop\keepeyeonball-cert.pfx","24/02/2025 20:28:00"
"0","Firebase Studio.lnk","C:\Users\jose\Desktop\Firebase Studio.lnk","14/06/2025 0:42:33"
"0","Google Meet.lnk","C:\Users\jose\Desktop\Google Meet.lnk","11/02/2025 18:03:28"
"0","Google Developers.lnk","C:\Users\jose\Desktop\Google Developers.lnk","26/02/2026 19:01:41"
"0","Cursor.lnk","C:\Users\jose\Desktop\Cursor.lnk","02/09/2024 23:57:40"
"0","desktop.ini","C:\Users\jose\Desktop\desktop.ini","03/06/2025 8:20:01"
"0","Partidos guardados del sábado en li.txt","C:\Users\jose\Desktop\Partidos guardados del sábado en li.txt","20/01/2025 21:05:11"
